Doc_43 :Topic_9:0.6474072236894093, Topic_3:0.13894774345019334, Topic_4:0.04573426843746766, Topic_5:0.04559854593639933, Topic_8:0.0321718374920283, Topic_2:0.02441586048944811, Topic_7:0.02343994240950198, Topic_1:0.018593832843902366, Topic_6:0.012427921651242582, Topic_0:0.011262823600407222
Doc_44 :Topic_9:0.7521438471228744, Topic_2:0.14066348196174713, Topic_4:0.02534437920735634, Topic_8:0.024985187314179716, Topic_3:0.017947054514037122, Topic_1:0.010103070628464933, Topic_5:0.00879400086627179, Topic_0:0.00819642649074482, Topic_6:0.006148761743697911, Topic_7:0.0056737901506258084
Doc_45 :Topic_9:0.5138541085295576, Topic_1:0.1177795381038014, Topic_5:0.0891148999181774, Topic_8:0.06621733019441733, Topic_2:0.05941721918589117, Topic_0:0.04646862807212692, Topic_6:0.042186086236256325, Topic_7:0.024418523486121047, Topic_3:0.022714509970017355, Topic_4:0.017829156303633513
Doc_46 :Topic_9:0.5368133151437814, Topic_1:0.18833392519884476, Topic_5:0.09627364021329167, Topic_2:0.09126630637523972, Topic_8:0.01885295496869092, Topic_0:0.017922084564867206, Topic_6:0.013818623414484872, Topic_3:0.013245200023953638, Topic_4:0.012700736547716763, Topic_7:0.010773213549129124
Doc_47 :Topic_9:0.2895348983642254, Topic_1:0.16311452605675453, Topic_5:0.15002227445635927, Topic_6:0.09402023466841719, Topic_0:0.09380979531552484, Topic_3:0.0737435849599303, Topic_8:0.05266423011668007, Topic_2:0.03311190004954144, Topic_4:0.03207956422288877, Topic_7:0.017898991789678107
Doc_48 :Topic_9:0.5864387455366417, Topic_2:0.1826970382562076, Topic_4:0.038072056278978486, Topic_5:0.035485838649621196, Topic_6:0.03493440172738562, Topic_8:0.03300735823542475, Topic_1:0.028332110265915547, Topic_0:0.022980646481569278, Topic_3:0.020878350026449003, Topic_7:0.017173454541806916
Doc_49 :Topic_9:0.8000207647262204, Topic_2:0.0868464293121676, Topic_5:0.021062807323605923, Topic_6:0.019130621966878026, Topic_0:0.016580559849332713, Topic_1:0.013153311670910607, Topic_7:0.01259365199331107, Topic_8:0.011911155350463642, Topic_3:0.009649524742830607, Topic_4:0.009051173064279222
Doc_50 :Topic_9:0.541877729884408, Topic_8:0.07719142109986936, Topic_0:0.07326846042642456, Topic_4:0.06527471133202628, Topic_6:0.05913124553105694, Topic_2:0.051950230248384126, Topic_5:0.047541745313047085, Topic_3:0.04046571861425918, Topic_1:0.024698836022173563, Topic_7:0.018599901528351073
Doc_51 :Topic_6:0.26763071701640234, Topic_0:0.1651584603871136, Topic_4:0.1469371766568813, Topic_7:0.1023485057320563, Topic_1:0.09993202303184696, Topic_8:0.09880694650816832, Topic_5:0.06548604696991771, Topic_3:0.028454148493012116, Topic_2:0.01824219514249602, Topic_9:0.007003780062105092
Doc_52 :Topic_4:0.46007386740959183, Topic_6:0.14635275572519343, Topic_3:0.10795501829970552, Topic_0:0.09004657986281946, Topic_5:0.056812398247026774, Topic_7:0.050704212456814626, Topic_8:0.031910093990583595, Topic_1:0.028261142651518734, Topic_2:0.021754541789841236, Topic_9:0.006129389566904644
